,Title,DOI
0,Skin preparation for preventing infection following caesarean section,10.1002/14651858.CD007462.pub4
1,Oral hygiene interventions for people with intellectual disabilities,10.1002/14651858.CD012628.pub2
2,Pharmacomechanical thrombectomy for iliofemoral deep vein thrombosis,10.1002/14651858.CD011536.pub2
3,Speech and language therapy to improve the communication skills of children with cerebral palsy,10.1002/14651858.CD003466.pub2
4,Oral rehydration salt solution for treating cholera: ≤ 270 mOsm/L solutions vs ≥ 310 mOsm/L solutions,10.1002/14651858.CD003754.pub3
5,Intravesical electromotive drug administration for non‐muscle invasive bladder cancer,10.1002/14651858.CD011864.pub2
6,Antidepressants versus psychological treatments and their combination for bulimia nervosa,10.1002/14651858.CD003385
7,Positive expiratory pressure physiotherapy for airway clearance in people with cystic fibrosis,10.1002/14651858.CD003147.pub5
8,Conjugate   Haemophilus influenzae type b vaccines for sickle cell disease,10.1002/14651858.CD011199.pub3
9,Cognitive‐behavioural treatment for subacute and chronic neck pain,10.1002/14651858.CD010664.pub2
10,Antibiotics for treating scrub typhus,10.1002/14651858.CD002150.pub2
11,Telemedicine for the support of parents of high‐risk newborn infants,10.1002/14651858.CD006818.pub2
12,Umbilical artery catheters in the newborn: effects of heparin,10.1002/14651858.CD000507
13,Mifepristone for uterine fibroids,10.1002/14651858.CD007687.pub2
14,"Osteotomy, compression and other modifications of surgical techniques for internal fixation of extracapsular hip fractures",10.1002/14651858.CD000522.pub2
15,Eculizumab for treating patients with paroxysmal nocturnal hemoglobinuria,10.1002/14651858.CD010340.pub2
16,Hepatitis B immunisation in persons not previously exposed to hepatitis B or with unknown exposure status,10.1002/14651858.CD006481.pub2
17,Oral antibiotics versus parenteral antibiotics for severe pneumonia in children,10.1002/14651858.CD004979.pub2
18,Antidepressants for the treatment of people with co‐occurring depression and alcohol dependence,10.1002/14651858.CD008581.pub2
19,Postnatal corticosteroids for transient tachypnoea of the newborn,10.1002/14651858.CD013222.pub2
20,Effect of outpatient pharmacists' non‐dispensing roles on patient outcomes and prescribing patterns,10.1002/14651858.CD000336.pub2
21,Provision of respiratory support compared to no respiratory support before cord clamping for preterm infants,10.1002/14651858.CD012491.pub2
22,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,10.1002/14651858.CD001122.pub5
23,Triptans for acute cluster headache,10.1002/14651858.CD008042.pub3
24,Angioplasty for intracranial artery stenosis,10.1002/14651858.CD004133.pub2
25,Interventions for toxic epidermal necrolysis,10.1002/14651858.CD001435
26,Sulthiame add‐on therapy for epilepsy,10.1002/14651858.CD009472.pub4
27,Prophylactic chemotherapy for hydatidiform mole to prevent gestational trophoblastic neoplasia,10.1002/14651858.CD007289.pub3
28,Financial interventions and movement restrictions for managing the movement of health workers between public and private organizations in low‐ and middle‐income countries,10.1002/14651858.CD009845.pub2
29,High versus standard volume enteral feeds to promote growth in preterm or low birth weight infants,10.1002/14651858.CD012413.pub2
30,Rehabilitation for hamstring injuries,10.1002/14651858.CD004575.pub3
31,Calcium antagonists for Duchenne muscular dystrophy,10.1002/14651858.CD004571.pub2
32,Systemic safety of bevacizumab versus ranibizumab for neovascular age‐related macular degeneration,10.1002/14651858.CD011230.pub2
33,Surgical versus nonsurgical interventions for flail chest,10.1002/14651858.CD009919.pub2
34,Zuclopenthixol versus placebo for schizophrenia,10.1002/14651858.CD010598.pub2
35,Hyperbaric oxygen therapy for acute coronary syndrome,10.1002/14651858.CD004818.pub4
36,Comparative effectiveness of continuation and maintenance treatments for persistent depressive disorder in adults,10.1002/14651858.CD012855.pub2
37,E‐learning for health professionals,10.1002/14651858.CD011736.pub2
38,Pressurised metered dose inhalers versus all other hand‐held inhaler devices to deliver beta‐2 agonist bronchodilators for non‐acute asthma,10.1002/14651858.CD002158
39,Selective serotonin reuptake inhibitors (SSRIs) for stroke recovery,10.1002/14651858.CD009286.pub3
40,Renal denervation for resistant hypertension,10.1002/14651858.CD011499.pub2
41,Antihypertensive pharmacotherapy for prevention of sudden cardiac death in hypertensive individuals,10.1002/14651858.CD011745.pub2
42,Maternal positions and mobility during first stage labour,10.1002/14651858.CD003934.pub4
43,Melatonin for non‐respiratory sleep disorders in visually impaired children,10.1002/14651858.CD008473.pub2
44,Hyaluronidase for cervical ripening and induction of labour,10.1002/14651858.CD003097.pub2
45,Planned early delivery versus expectant management of the term suspected compromised baby for improving outcomes,10.1002/14651858.CD009433.pub2
46,Chinese herbal medicine for chronic neck pain due to cervical degenerative disc disease,10.1002/14651858.CD006556.pub2
47,"Anti‐pseudomonal beta‐lactams for the initial, empirical, treatment of febrile neutropenia: comparison of beta‐lactams",10.1002/14651858.CD005197.pub3
48,Systemic corticosteroids for acute otitis media in children,10.1002/14651858.CD012289.pub2
49,Mini‐Cog for the diagnosis of Alzheimer’s disease dementia and other dementias within a primary care setting,10.1002/14651858.CD011415.pub2
50,Interventions for waterpipe smoking cessation,10.1002/14651858.CD005549.pub3
51,Antiepileptic drugs for seizure control in people with neurocysticercosis,10.1002/14651858.CD009027.pub3
52,Blood pressure control for diabetic retinopathy,10.1002/14651858.CD006127.pub2
53,Ultrasonography for confirmation of gastric tube placement,10.1002/14651858.CD012083.pub2
54,Hyaluronidase for reducing perineal trauma,10.1002/14651858.CD010441.pub2
55,Single dose oral oxycodone and oxycodone plus paracetamol (acetaminophen) for acute postoperative pain in adults,10.1002/14651858.CD002763.pub2
56,Endovenous thermal ablation for healing venous ulcers and preventing recurrence,10.1002/14651858.CD009494.pub2
57,Intravenous immunoglobulins for epilepsy,10.1002/14651858.CD008557.pub4
58,Computerized advice on drug dosage to improve prescribing practice,10.1002/14651858.CD002894.pub3
59,Adjustable versus non‐adjustable sutures for strabismus,10.1002/14651858.CD004240.pub4
60,Real‐time video counselling for smoking cessation,10.1002/14651858.CD012659.pub2
61,Hydroxyurea for reducing blood transfusion in non‐transfusion dependent beta thalassaemias,10.1002/14651858.CD011579.pub2
62,Effect of early treatment with anti‐hypertensive drugs on short and long‐term mortality in patients with an acute cardiovascular event,10.1002/14651858.CD006743.pub2
63,Abdominal lift for laparoscopic cholecystectomy,10.1002/14651858.CD006574.pub4
64,Interventions for paracetamol (acetaminophen) overdose,10.1002/14651858.CD003328.pub3
65,Preoperative medical therapy before surgery for uterine fibroids,10.1002/14651858.CD000547.pub2
66,Exhaled nitric oxide levels to guide treatment for children with asthma,10.1002/14651858.CD011439.pub2
67,Improving adherence to Standard Precautions for the control of health care‐associated infections,10.1002/14651858.CD010768.pub2
68,Self‐monitoring and self‐management of oral anticoagulation,10.1002/14651858.CD003839.pub3
69,Increased consumption of fruit and vegetables for the primary prevention of cardiovascular diseases,10.1002/14651858.CD009874.pub2
70,Laparoscopic surgery for endometriosis,10.1002/14651858.CD011031.pub2
71,Strategies for managing sexual dysfunction induced by antidepressant medication,10.1002/14651858.CD003382.pub3
72,Psychological therapies for the treatment of depression in chronic obstructive pulmonary disease,10.1002/14651858.CD012347.pub2
73,Psychological interventions for acute pain after open heart surgery,10.1002/14651858.CD009984.pub3
74,Patient controlled opioid analgesia versus non‐patient controlled opioid analgesia for postoperative pain,10.1002/14651858.CD003348.pub3
75,Work‐break schedules for preventing musculoskeletal symptoms and disorders in healthy workers,10.1002/14651858.CD012886.pub2
76,Cervico‐thoracic or lumbar sympathectomy for neuropathic pain and complex regional pain syndrome,10.1002/14651858.CD002918.pub3
77,"Central venous access sites for the prevention of venous thrombosis, stenosis and infection",10.1002/14651858.CD004084.pub3
78,Heparin for prolonging peripheral intravenous catheter use in neonates,10.1002/14651858.CD002774.pub2
79,Perioperative dexmedetomidine for acute pain after abdominal surgery in adults,10.1002/14651858.CD010358.pub2
80,Factors that impact on the use of mechanical ventilation weaning protocols in critically ill adults and children: a qualitative evidence‐synthesis,10.1002/14651858.CD011812.pub2
81,Total versus subtotal hysterectomy for benign gynaecological conditions,10.1002/14651858.CD004993.pub3
82,Repetitive transcranial magnetic stimulation for the treatment of amyotrophic lateral sclerosis or motor neuron disease,10.1002/14651858.CD008554.pub3
83,Monotherapy laser photocoagulation for diabetic macular oedema,10.1002/14651858.CD010859.pub2
84,Antibiotic prophylaxis for hernia repair.,10.1002/14651858.CD003769.pub4
85,Triflusal for preventing serious vascular events in people at high risk,10.1002/14651858.CD004296.pub2
86,"Effectiveness and safety of procalcitonin evaluation for reducing mortality in adults with sepsis, severe sepsis or septic shock",10.1002/14651858.CD010959.pub2
87,Methadone for neuropathic pain in adults,10.1002/14651858.CD012499.pub2
88,Spectacle correction versus no spectacles for prevention of strabismus in hyperopic children,10.1002/14651858.CD007738.pub2
89,Multimedia educational interventions for consumers about prescribed and over‐the‐counter medications,10.1002/14651858.CD008416.pub2
90,Routine ultrasound in late pregnancy (after 24 weeks' gestation),10.1002/14651858.CD001451.pub4
91,Non‐invasive interventions for improving well‐being and quality of life in patients with lung cancer,10.1002/14651858.CD004282.pub3
92,Midwife‐led continuity models versus other models of care for childbearing women,10.1002/14651858.CD004667.pub5
93,Effect of timing of umbilical cord clamping of term infants on maternal and neonatal outcomes,10.1002/14651858.CD004074.pub3
94,Selective serotonin reuptake inhibitors (SSRIs) and serotonin‐norepinephrine reuptake inhibitors (SNRIs) for the prevention of tension‐type headache in adults,10.1002/14651858.CD011681
95,Oral versus intravenous rehydration for treating dehydration due to gastroenteritis in children,10.1002/14651858.CD004390.pub2
96,Nebulized racemic epinephrine for extubation of newborn infants,10.1002/14651858.CD000506
97,Medical and surgical treatment for ocular myasthenia,10.1002/14651858.CD005081.pub3
98,Antifibrinolytics for heavy menstrual bleeding,10.1002/14651858.CD000249.pub2
99,Early skin‐to‐skin contact for mothers and their healthy newborn infants,10.1002/14651858.CD003519.pub4
100,Interventions for cutaneous molluscum contagiosum,10.1002/14651858.CD004767.pub4
101,Self‐management for bronchiectasis,10.1002/14651858.CD012528.pub2
102,Multidisciplinary rehabilitation for follow‐up of women treated for breast cancer,10.1002/14651858.CD009553.pub2
103,Probiotics in infants for prevention of allergic disease and food hypersensitivity,10.1002/14651858.CD006475.pub2
104,Nasal continuous positive airway pressure immediately after extubation for preventing morbidity in preterm infants,10.1002/14651858.CD000143
105,Covering ileo‐ or colostomy in anterior resection for rectal carcinoma,10.1002/14651858.CD006878.pub2
106,Fluoroquinolones for treating tuberculosis (presumed drug‐sensitive),10.1002/14651858.CD004795.pub4
107,Auranofin versus placebo in rheumatoid arthritis,10.1002/14651858.CD002048
108,Genital ulcer disease treatment for reducing sexual acquisition of HIV,10.1002/14651858.CD007933.pub2
109,Corticosteroids for preventing graft‐versus‐host disease after allogeneic myeloablative stem cell transplantation,10.1002/14651858.CD004885.pub2
110,Vaccines for women for preventing neonatal tetanus,10.1002/14651858.CD002959.pub4
111,Artificial and bioartificial support systems for liver failure,10.1002/14651858.CD003628.pub2
112,Percutaneous transluminal angioplasty and stenting for vertebral artery stenosis,10.1002/14651858.CD000516.pub2
113,Acupuncture for glaucoma,10.1002/14651858.CD006030.pub4
114,Glucose‐lowering agents for treating pre‐existing and new‐onset diabetes in kidney transplant recipients,10.1002/14651858.CD009966.pub2
115,Peer support for people with schizophrenia or other serious mental illness,10.1002/14651858.CD010880.pub2
116,Planned caesarean section for term breech delivery,10.1002/14651858.CD000166.pub2
117,Treatment for hepatorenal syndrome in people with decompensated liver cirrhosis: a network meta‐analysis,10.1002/14651858.CD013103.pub2
118,Cyclobenzaprine for the treatment of myofascial pain in adults,10.1002/14651858.CD006830.pub3
119,Nasal versus oral intubation for mechanical ventilation of newborn infants,10.1002/14651858.CD000948
120,Nitric oxide donors for cervical ripening in first‐trimester surgical abortion,10.1002/14651858.CD007444.pub4
121,Injection sclerotherapy for varicose veins,10.1002/14651858.CD001732.pub2
122,Aripiprazole for schizophrenia,10.1002/14651858.CD004578.pub3
123,Email for clinical communication between healthcare professionals,10.1002/14651858.CD007979.pub3
124,Surgical interventions for treating distal humeral fractures in adults,10.1002/14651858.CD009890.pub2
125,"Comparison of a restrictive versus liberal red cell transfusion policy for patients with myelodysplasia, aplastic anaemia, and other congenital bone marrow failure disorders",10.1002/14651858.CD011577.pub2
126,Valproate preparations for agitation in dementia,10.1002/14651858.CD003945.pub4
127,Phonics training for English‐speaking poor readers,10.1002/14651858.CD009115.pub3
128,Role of chemotherapy additional to high‐dose methotrexate for primary central nervous system lymphoma (PCNSL),10.1002/14651858.CD009355.pub2
129,Magnesium sulphate for women at term for neuroprotection of the fetus,10.1002/14651858.CD009395.pub2
130,Urinary biomarkers for the non‐invasive diagnosis of endometriosis,10.1002/14651858.CD012019
131,Interventions for preventing and ameliorating cognitive deficits in adults treated with cranial irradiation,10.1002/14651858.CD011335.pub2
132,Non‐penetrating filtration surgery versus trabeculectomy for open‐angle glaucoma,10.1002/14651858.CD007059.pub2
133,Intravenous versus inhalational techniques for rapid emergence from anaesthesia in patients undergoing brain tumour surgery,10.1002/14651858.CD010467.pub2
134,Moderately early (7‐14 days) postnatal corticosteroids for preventing chronic lung disease in preterm infants,10.1002/14651858.CD001144
135,Blood pressure lowering efficacy of partial agonist beta blocker monotherapy for primary hypertension,10.1002/14651858.CD007450.pub2
136,Dietary interventions for adults with chronic kidney disease,10.1002/14651858.CD011998.pub2
137,Antibiotic treatment for nontuberculous mycobacteria lung infection in people with cystic fibrosis,10.1002/14651858.CD010004.pub4
138,Methods of repair for obstetric anal sphincter injury,10.1002/14651858.CD002866.pub3
139,Chlorhexidine skin or cord care for prevention of mortality and infections in neonates,10.1002/14651858.CD007835.pub2
140,Antioxidant treatment for amyotrophic lateral sclerosis or motor neuron disease,10.1002/14651858.CD002829.pub4
141,Early routine endoscopic retrograde cholangiopancreatography strategy versus early conservative management strategy in acute gallstone pancreatitis,10.1002/14651858.CD009779.pub2
142,Transcutaneous electrical nerve stimulation (TENS) for phantom pain and stump pain following amputation in adults,10.1002/14651858.CD007264.pub3
143,First‐line drugs inhibiting the renin angiotensin system versus other first‐line antihypertensive drug classes for hypertension,10.1002/14651858.CD008170.pub3
144,Chronotherapy versus conventional statins therapy for the treatment of hyperlipidaemia,10.1002/14651858.CD009462.pub2
145,Therapeutic ultrasound for osteoarthritis of the knee or hip,10.1002/14651858.CD003132.pub2
146,Enteral tube feeding for amyotrophic lateral sclerosis/motor neuron disease,10.1002/14651858.CD004030.pub3
147,Puerarin for ischaemic stroke,10.1002/14651858.CD004955.pub3
148,Interventions to slow progression of myopia in children,10.1002/14651858.CD004916.pub4
149,Oral versus inhaled antibiotics for bronchiectasis,10.1002/14651858.CD012579.pub2
150,Interventions for treating distal intestinal obstruction syndrome (DIOS) in cystic fibrosis,10.1002/14651858.CD012798.pub2
151,Interventions for intra‐operative pain relief during postpartum mini‐laparotomy tubal ligation,10.1002/14651858.CD011807.pub2
152,Interventions for strabismic amblyopia,10.1002/14651858.CD006461.pub4
153,Pushing/bearing down methods for the second stage of labour,10.1002/14651858.CD009124.pub3
154,Drug treatment for spinal muscular atrophy types II and III,10.1002/14651858.CD006282.pub5
155,Magnesium sulphate for women at risk of preterm birth for neuroprotection of the fetus,10.1002/14651858.CD004661.pub3
156,Intermittent inhaled corticosteroid therapy versus placebo for persistent asthma in children and adults,10.1002/14651858.CD011032.pub2
157,Medical interventions for traumatic hyphema,10.1002/14651858.CD005431.pub4
158,Surgical portosystemic shunts versus transjugular intrahepatic portosystemic shunt for variceal haemorrhage in people with cirrhosis,10.1002/14651858.CD001023.pub3
159,Surgical versus medical treatment with cyclooxygenase inhibitors for symptomatic patent ductus arteriosus in preterm infants,10.1002/14651858.CD003951.pub3
160,Duodenum‐preserving pancreatic resection versus pancreaticoduodenectomy for chronic pancreatitis,10.1002/14651858.CD011521.pub2
161,Olanzapine in long‐term treatment for bipolar disorder,10.1002/14651858.CD004367.pub2
162,Oral protein calorie supplementation for children with chronic disease,10.1002/14651858.CD001914.pub2
163,Aspirin for in vitro fertilisation,10.1002/14651858.CD004832.pub4
164,Interventions for the prevention of mycobacterium avium complex in adults and children with HIV,10.1002/14651858.CD007191.pub2
165,Surgical repair of spontaneous perineal tears that occur during childbirth versus no intervention,10.1002/14651858.CD008534.pub2
166,Transurethral radiofrequency collagen denaturation for the treatment of women with urinary incontinence,10.1002/14651858.CD010217.pub2
167,Cognition‐based interventions for healthy older people and people with mild cognitive impairment,10.1002/14651858.CD006220.pub2
168,Respiratory muscle training for cervical spinal cord injury,10.1002/14651858.CD008507.pub2
169,Systemic antibiotics versus topical treatments for chronically discharging ears with underlying eardrum perforations,10.1002/14651858.CD005608
170,"Screening for colorectal cancer using the faecal occult blood test, Hemoccult",10.1002/14651858.CD001216.pub2
171,Methods of decreasing infection to improve outcomes after liver resections,10.1002/14651858.CD006933.pub2
172,Perianal injectable bulking agents as treatment for faecal incontinence in adults,10.1002/14651858.CD007959.pub3
173,Individual behavioural counselling for smoking cessation,10.1002/14651858.CD001292.pub3
174,Acupuncture for hypoxic ischemic encephalopathy in neonates,10.1002/14651858.CD007968.pub2
175,Ibuprofen for the prevention of patent ductus arteriosus in preterm and/or low birth weight infants,10.1002/14651858.CD004213.pub5
176,Intermittent iron supplementation for improving nutrition and development in children under 12 years of age,10.1002/14651858.CD009085.pub2
177,Continuous positive airway pressure versus theophylline for apnea in preterm infants,10.1002/14651858.CD001072
178,Laser photocoagulation for proliferative diabetic retinopathy,10.1002/14651858.CD011234.pub2
179,Effects of total fat intake on bodyweight in children,10.1002/14651858.CD012960.pub2
180,Pregabalin for decreasing pancreatic pain in chronic pancreatitis,10.1002/14651858.CD011522.pub2
181,Intrathecal baclofen for treating spasticity in children with cerebral palsy,10.1002/14651858.CD004552.pub2
182,"Diet, physical activity, and behavioural interventions for the treatment of overweight or obesity in preschool children up to the age of 6 years",10.1002/14651858.CD012105
183,Healing by primary versus secondary intention after surgical treatment for pilonidal sinus,10.1002/14651858.CD006213.pub3
184,"Contracts between patients and healthcare practitioners for improving patients' adherence to treatment, prevention and health promotion activities",10.1002/14651858.CD004808.pub3
185,Non‐pharmacological interventions for chronic pain in multiple sclerosis,10.1002/14651858.CD012622.pub2
186,Artemether‐lumefantrine (six‐dose regimen) for treating uncomplicated falciparum malaria,10.1002/14651858.CD005564
187,Flupenthixol versus low‐potency first‐generation antipsychotic drugs for schizophrenia,10.1002/14651858.CD009227.pub2
188,Mast‐cell stabilising agents to prevent exercise‐induced bronchoconstriction,10.1002/14651858.CD002307
189,Provider training and experience for people living with HIV/AIDS,10.1002/14651858.CD003938.pub2
190,Interventions for tobacco cessation in the dental setting,10.1002/14651858.CD005084.pub3
191,Collection devices for obtaining cervical cytology samples,10.1002/14651858.CD001036
192,Surgical sealant for preventing air leaks after pulmonary resections in patients with lung cancer,10.1002/14651858.CD003051.pub3
193,Prophylactic antibiotics for penetrating abdominal trauma,10.1002/14651858.CD007370.pub4
194,Topical anaesthesia alone versus topical anaesthesia with intracameral lidocaine for phacoemulsification,10.1002/14651858.CD005276.pub2
195,Steroids for acute spinal cord injury,10.1002/14651858.CD001046.pub2
196,Topical silver for preventing wound infection,10.1002/14651858.CD006478.pub2
197,"Immediate antiepileptic drug treatment, versus placebo, deferred, or no treatment for first unprovoked seizure",10.1002/14651858.CD007144.pub2
198,Community‐based supplementary feeding for promoting the growth of children under five years of age in low and middle income countries,10.1002/14651858.CD005039.pub3
199,Follow‐up strategies after treatment (large loop excision of the transformation zone (LLETZ)) for cervical intraepithelial neoplasia (CIN): Impact of human papillomavirus (HPV) test,10.1002/14651858.CD010757.pub2
200,Antenatal day care units versus hospital admission for women with complicated pregnancy,10.1002/14651858.CD001803.pub2
201,Therapies for depression in Parkinson's disease,10.1002/14651858.CD003465
202,Corticosteroids for acute bacterial meningitis,10.1002/14651858.CD004405.pub5
203,Pulmonary rehabilitation for chronic obstructive pulmonary disease,10.1002/14651858.CD003793.pub3
204,Gonadotrophin‐releasing hormone agonist protocols for pituitary suppression in assisted reproduction,10.1002/14651858.CD006919.pub4
205,Anti‐vascular endothelial growth factor for control of wound healing in glaucoma surgery,10.1002/14651858.CD009782.pub2
206,Tiotropium versus ipratropium bromide for chronic obstructive pulmonary disease,10.1002/14651858.CD009552.pub3
207,Effects of targeting lower versus higher arterial oxygen saturations on death or disability in preterm infants,10.1002/14651858.CD011190.pub2
208,Centre‐based day care for children younger than five years of age in high‐income countries,10.1002/14651858.CD010544.pub2
209,Oral versus intravenous steroids for treatment of relapses in multiple sclerosis,10.1002/14651858.CD006921.pub3
210,Interprofessional education: effects on professional practice and healthcare outcomes,10.1002/14651858.CD002213.pub3
211,Workplace interventions to prevent work disability in workers on sick leave,10.1002/14651858.CD006955.pub3
212,Circuit class therapy for improving mobility after stroke,10.1002/14651858.CD007513.pub3
213,Routes of administration of antibiotic prophylaxis for preventing infection after caesarean section,10.1002/14651858.CD011876.pub2
214,Whole‐body vibration training for patients with neurodegenerative disease,10.1002/14651858.CD009097.pub2
215,Oral prostaglandin E2 for induction of labour,10.1002/14651858.CD003098
216,Interventions for managing medication‐related osteonecrosis of the jaw,10.1002/14651858.CD012432.pub2
217,Stem cell transplantation for ischemic stroke,10.1002/14651858.CD007231.pub3
218,Band ligation versus beta‐blockers for primary prophylaxis of oesophageal variceal bleeding in children with chronic liver disease or portal vein thrombosis,10.1002/14651858.CD010546.pub2
219,Anti‐vascular endothelial growth factor for neovascular glaucoma,10.1002/14651858.CD007920.pub3
220,Diacerein for osteoarthritis,10.1002/14651858.CD005117.pub3
221,Hypnosis for pain management during labour and childbirth,10.1002/14651858.CD009356.pub3
222,Dietary marine fatty acids (fish oil) for asthma in adults and children,10.1002/14651858.CD001283
223,One‐incision versus two‐incision techniques for arthroscopically assisted anterior cruciate ligament reconstruction in adults,10.1002/14651858.CD010875.pub2
224,Beta2‐adrenoceptor agonists for dysmenorrhoea,10.1002/14651858.CD008585.pub2
225,Treatment of epilepsy for people with Alzheimer's disease,10.1002/14651858.CD011922.pub3
226,Botulinum toxin for motor and phonic tics in Tourette's syndrome,10.1002/14651858.CD012285.pub2
227,Selenium supplementation to prevent short‐term morbidity in preterm neonates,10.1002/14651858.CD003312
228,Probiotics for the prevention of pediatric antibiotic‐associated diarrhea,10.1002/14651858.CD004827.pub5
229,Chest radiographs for acute lower respiratory tract infections,10.1002/14651858.CD009119.pub2
230,Home parenteral nutrition for people with inoperable malignant bowel obstruction,10.1002/14651858.CD012812.pub2
231,Endoscopic third ventriculostomy (ETV) for idiopathic normal pressure hydrocephalus (iNPH),10.1002/14651858.CD010033.pub2
232,Management of gag reflex for patients undergoing dental treatment,10.1002/14651858.CD011116.pub3
233,Interventions for central giant cell granuloma (CGCG) of the jaws,10.1002/14651858.CD007404.pub2
234,Soft versus firm catheters for intrauterine insemination,10.1002/14651858.CD006225.pub2
235,Haloperidol versus first‐generation antipsychotics for the treatment of schizophrenia and other psychotic disorders,10.1002/14651858.CD009831.pub2
236,Chinese herbal medicines for hypercholesterolemia,10.1002/14651858.CD008305.pub2
237,Lithium for maintenance treatment of mood disorders,10.1002/14651858.CD003013
238,Statins versus placebo for people with chronic obstructive pulmonary disease,10.1002/14651858.CD011959.pub2
239,Interactive Health Communication Applications for people with chronic disease,10.1002/14651858.CD004274.pub4
240,Pharmacological interventions for the prevention of acute postoperative pain in adults following brain surgery,10.1002/14651858.CD011931.pub2
241,Intrapartum antibiotics for known maternal Group B streptococcal colonization,10.1002/14651858.CD007467.pub4
242,Early postnatal discharge from hospital for healthy mothers and term infants,10.1002/14651858.CD002958
243,Water precautions for prevention of infection in children with ventilation tubes (grommets),10.1002/14651858.CD010375.pub2
244,Caffeine for the prevention of injuries and errors in shift workers,10.1002/14651858.CD008508
245,Aripiprazole versus other atypical antipsychotics for schizophrenia,10.1002/14651858.CD006569.pub5
246,Atovaquone‐proguanil for treating uncomplicated malaria,10.1002/14651858.CD004529.pub2
247,Acupuncture for shoulder pain,10.1002/14651858.CD005319
248,Interventions for prevention and treatment of vulvovaginal candidiasis in women with HIV infection,10.1002/14651858.CD008739.pub2
249,Locomotor training for walking after spinal cord injury,10.1002/14651858.CD006676.pub3
250,Cyclodestructive procedures for refractory glaucoma,10.1002/14651858.CD012223.pub2
251,Breathing exercises for adults with asthma,10.1002/14651858.CD001277.pub4
252,Interventions for managing oral ulcers in Behçet's disease,10.1002/14651858.CD011018.pub2
253,Nonsteroidal anti‐inflammatory drugs and perioperative bleeding in paediatric tonsillectomy,10.1002/14651858.CD003591.pub3
254,Balneotherapy for osteoarthritis,10.1002/14651858.CD006864
255,"Cysteine, cystine or N‐acetylcysteine supplementation in parenterally fed neonates",10.1002/14651858.CD004869.pub2
256,Surgical interventions for symptomatic mild to moderate knee osteoarthritis,10.1002/14651858.CD012128.pub2
257,Inositol in preterm infants at risk for or having respiratory distress syndrome,10.1002/14651858.CD000366.pub4
258,Chemotherapy for advanced gastric cancer,10.1002/14651858.CD004064.pub4
259,Regimens of vitamin D supplementation for women during pregnancy,10.1002/14651858.CD013446
260,Subintimal angioplasty for lower limb arterial chronic total occlusions,10.1002/14651858.CD009418.pub3
261,Graft type for femoro‐popliteal bypass surgery,10.1002/14651858.CD001487.pub3
262,Cyclical progestogens for heavy menstrual bleeding,10.1002/14651858.CD001016.pub3
263,Drug‐eluting stents versus bare‐metal stents for acute coronary syndrome,10.1002/14651858.CD012481.pub2
264,Interventions for the eradication of meticillin‐resistant Staphylococcus aureus (MRSA) in people with cystic fibrosis,10.1002/14651858.CD009650.pub4
265,Magnetic resonance perfusion for differentiating low‐grade from high‐grade gliomas at first presentation,10.1002/14651858.CD011551.pub2
266,Fluorides for preventing early tooth decay (demineralised lesions) during fixed brace treatment,10.1002/14651858.CD003809.pub4
267,Pegylated liposomal doxorubicin for first‐line treatment of epithelial ovarian cancer,10.1002/14651858.CD010482.pub2
268,Cyclophosphamide for connective tissue disease–associated interstitial lung disease,10.1002/14651858.CD010908.pub2
269,Pharmacological interventions for those who have sexually offended or are at risk of offending,10.1002/14651858.CD007989.pub2
270,Reminiscence therapy for dementia,10.1002/14651858.CD001120.pub3
271,Dihydrocodeine for detoxification and maintenance treatment in individuals with opiate use disorders,10.1002/14651858.CD012254.pub2
272,Psychotherapies for hypochondriasis,10.1002/14651858.CD006520.pub2
273,Interventions to improve question formulation in professional practice and self‐directed learning,10.1002/14651858.CD007335.pub2
274,Unfractionated or low‐molecular weight heparin for induction of remission in ulcerative colitis,10.1002/14651858.CD006774.pub4
275,Assisted reproductive technologies for male subfertility,10.1002/14651858.CD000360.pub5
276,Long‐acting beta2‐agonist in addition to tiotropium versus either tiotropium or long‐acting beta2‐agonist alone for chronic obstructive pulmonary disease,10.1002/14651858.CD008989.pub3
277,Lower versus higher oxygen concentrations titrated to target oxygen saturations during resuscitation of preterm infants at birth,10.1002/14651858.CD010239.pub2
278,Topical anaesthetics for pain control during repair of dermal laceration,10.1002/14651858.CD005364.pub3
279,Band ligation versus no intervention for primary prevention of upper gastrointestinal bleeding in adults with cirrhosis and oesophageal varices,10.1002/14651858.CD012673.pub2
280,Interventions for emergency contraception,10.1002/14651858.CD001324.pub6
281,Volume‐targeted versus pressure‐limited ventilation in neonates,10.1002/14651858.CD003666.pub4
